,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
29,@BBC,0.5719,0.0,0.802,0.198,"😊🐐 Scientists have found that goats are drawn to humans with happy facial expressions.
👉 https://t.co/TO6kTk8a9B https://t.co/vpiCvIJuXR",Sun Sep 02 18:08:04 +0000 2018,30
30,@BBC,0.0,0.0,1.0,0.0,"☕ Tea? Coffee? Plastic bag? 
This is the plastic bag you can drink. https://t.co/HDK9JLMQkV",Sun Sep 02 17:06:04 +0000 2018,31
31,@BBC,0.128,0.092,0.797,0.112,A teenager who lost her hands and feet to meningitis as a baby is now heading to art college with hopes of becoming… https://t.co/6I5M8G4Hw8,Sun Sep 02 16:05:04 +0000 2018,32
32,@BBC,0.0,0.0,1.0,0.0,"RT @BBCOne: One ticking clock.
One set of questions.
And one #Bodyguard star, @Misskeeleyhawes. https://t.co/w5atGYC4Gn",Sun Sep 02 15:24:46 +0000 2018,33
33,@BBC,-0.2263,0.16,0.84,0.0,"Forget hygge, lagom and lykke – Jante Law rules in Scandinavia. 
 https://t.co/2nx7uw33Pw",Sun Sep 02 15:12:01 +0000 2018,34
34,@BBC,0.5106,0.161,0.549,0.29,"A groundbreaking technique looks set to turn man's best friend into an ivory trafficker's worst nightmare.
👉… https://t.co/64P7dLdIqx",Sun Sep 02 14:06:08 +0000 2018,35
35,@BBC,0.0772,0.0,0.944,0.056,"An increasing number of South Korean women are choosing not to marry, not to have children, and not even to have re… https://t.co/kmpFHJM5Vd",Sun Sep 02 14:03:02 +0000 2018,36
36,@BBC,0.0,0.0,1.0,0.0,"🍋 Bring some freshness to your dessert with a squeeze of lemon. 
👉 https://t.co/uAys5XGjqv https://t.co/UEbBl8M85P",Sun Sep 02 13:03:02 +0000 2018,37
37,@BBC,-0.3818,0.175,0.825,0.0,RT @BBCRadio4: Ten must-read novels based on events that shook the world. What do you think is missing? https://t.co/VwLynqnqwP,Sun Sep 02 12:25:11 +0000 2018,38
38,@BBC,0.0,0.0,1.0,0.0,"RT @bbcthree: How to become a millionaire from your own bedroom
https://t.co/ZKsdhv2Z8l https://t.co/alZSZXDuQR",Sun Sep 02 12:24:18 +0000 2018,39
39,@BBC,0.743,0.0,0.73,0.27,"This painting focused on two beautifully dressed black girls was radical for the mid-19th century.

Could this artw… https://t.co/B4MvAJMvQW",Sun Sep 02 11:34:00 +0000 2018,40
40,@BBC,0.7684,0.0,0.712,0.288,RT @BBCSport: Neymar doesn't always do himself many favours... but this is great ❤️ https://t.co/000oqICDZ0,Sun Sep 02 11:03:19 +0000 2018,41
41,@BBC,0.0,0.0,1.0,0.0,"RT @BBCOne: Find your dancing shoes 👞 👠

#Strictly returns to BBC One on Sep 8th. https://t.co/V7MlSZDwSL",Sun Sep 02 10:20:05 +0000 2018,42
42,@BBC,-0.0516,0.107,0.893,0.0,🐢 It's hard to imagine... but turtles didn't always have shells.  https://t.co/uLL0DO11Tu,Sun Sep 02 10:07:06 +0000 2018,43
43,@BBC,0.0,0.0,1.0,0.0,"🥥 According to one Harvard professor, coconut oil, is 'pure poison'.
👉 https://t.co/Xq6XdYHoDW https://t.co/sTiuM53z5h",Sun Sep 02 09:09:03 +0000 2018,44
44,@BBC,-0.296,0.18,0.82,0.0,😍 These baby rock hyraxes weigh no more than 250g each. https://t.co/BvEkBKJz9q,Sun Sep 02 08:11:03 +0000 2018,45
45,@BBC,0.0,0.0,1.0,0.0,🍃 Start your Sunday right. https://t.co/mVUOfn9JYO,Sun Sep 02 07:05:06 +0000 2018,46
46,@BBC,0.802,0.0,0.676,0.324,"RT @BBCRadio4: 😂😂😂😂😂😂😂
Laugh? We nearly fell in the sea.
The seven funniest Desert Island Discs.
https://t.co/KeqYYSMhFT",Sat Sep 01 19:55:23 +0000 2018,47
47,@BBC,-0.5859,0.202,0.798,0.0,"RT @bbcstories: These women live with chronic pain which can strike at any time - they all have #Fibromyalgia, a common, little understood…",Sat Sep 01 18:47:18 +0000 2018,48
48,@BBC,-0.4588,0.214,0.786,0.0,"🐝 What to do if you're attacked by a swarm of wasps.
👉 https://t.co/9EbsxYTbPa https://t.co/YYzWQR8JnS",Sat Sep 01 18:09:04 +0000 2018,49
49,@BBC,0.6258,0.0,0.718,0.282,"""Coming to Burning Man is almost like people are their truest selves.""
#Rituals #BurningMan https://t.co/qW8N42Xcja",Sat Sep 01 17:02:06 +0000 2018,50
50,@BBC,0.128,0.0,0.88,0.12,"A map identifying litter hotspots along Scotland's coastline has been launched.
👉 https://t.co/6TkJa4Gj35 https://t.co/pgfuRhtxcK",Sat Sep 01 16:07:05 +0000 2018,51
51,@BBC,0.0,0.0,1.0,0.0,"Getting married? 🔔 
Here are a few ways to defuse the surname conundrum. https://t.co/RF09jnOVUG",Sat Sep 01 15:02:06 +0000 2018,52
52,@BBC,0.5262,0.0,0.815,0.185,RT @bbcweather: When do seasons actually start and end? Find out more here: https://t.co/TKmaLIU2DR NP https://t.co/0OANuj8Z9j,Sat Sep 01 14:43:14 +0000 2018,53
53,@BBC,0.7184,0.0,0.75,0.25,"📚 From a novel about the early Third Reich to a memoir by Steve Jobs’ daughter, here are 10 excellent September rea… https://t.co/cyMfPGi6yR",Sat Sep 01 14:10:03 +0000 2018,54
54,@BBC,0.4019,0.0,0.69,0.31,A whole new way to treat Parkinson's. https://t.co/dslDtfQAmY,Sat Sep 01 13:04:05 +0000 2018,55
55,@BBC,0.6369,0.0,0.724,0.276,"What is 'primitive technology' and why do we love it?
👉 https://t.co/Nd4XTITC8U https://t.co/6r84K1MsP7",Sat Sep 01 12:06:02 +0000 2018,56
56,@BBC,-0.4767,0.154,0.846,0.0,"RT @BBCiPlayer: If this doesn’t make you cry, you’re obviously a Dalek.😭😭😭Binge watch #DoctorWho boxsets on BBC iPlayer 👉 https://t.co/uK9b…",Sat Sep 01 11:39:44 +0000 2018,57
57,@BBC,-0.2023,0.173,0.726,0.101,RT @bbcstrictly: He's no average Joe. But can he cut it on the #Strictly dancefloor? Get ready to Rumba @Joe_Sugg. 🕺 https://t.co/rMsIA4rlWs,Sat Sep 01 11:39:34 +0000 2018,58
58,@BBC,0.0258,0.098,0.8,0.102,"These endangered birds have no sense of direction, so conservationists came up with a novel way to get them home... https://t.co/YS6O0UjhLX",Sat Sep 01 11:05:04 +0000 2018,59
59,@BBC,0.0,0.0,1.0,0.0,"🌍🍴 In the UK we're using 16.5 billion pieces of single-use plastic cutlery every year.
#PlasticsAction https://t.co/8L3GWXBbaP",Sat Sep 01 10:04:00 +0000 2018,60
60,@BBC,0.0,0.0,1.0,0.0,"🚰 Why do homes in the UK have separate hot and cold taps?
👉 https://t.co/pxUznxp7K6 https://t.co/N1ShLNy0CS",Sat Sep 01 09:04:02 +0000 2018,61
61,@BBC,0.0,0.0,1.0,0.0,⏳ Is the world running out of sand? https://t.co/n18YThXesW,Sat Sep 01 07:59:03 +0000 2018,62
62,@BBC,0.4215,0.0,0.823,0.177,"❤️🐾 So many puppies and kittens will be safer because of this.
#LucysLaw https://t.co/LyF6u8hy2n",Sat Sep 01 07:05:03 +0000 2018,63
63,@BBC,0.2023,0.078,0.814,0.109,"💬👑 The true story of a king who tried to overcome his stutter so he could address the nation. 

The King's Speech |… https://t.co/IT6rHoyP7k",Fri Aug 31 20:31:05 +0000 2018,64
64,@BBC,0.1027,0.156,0.667,0.178,"""I've had three kids and I regret it."" 
😂 @RomeshRanga on the joys of fatherhood. https://t.co/lydyO3oymy",Fri Aug 31 18:00:23 +0000 2018,65
65,@BBC,0.0,0.0,1.0,0.0,🎢😂 https://t.co/TnwAKXOTxW,Fri Aug 31 15:59:04 +0000 2018,66
66,@BBC,-0.4201,0.193,0.72,0.087,"One comic fan was so annoyed by the tight costume worn by @Marvel superhero Dust, she redesigned the niqab hero's a… https://t.co/VcdXcOEMAy",Fri Aug 31 13:04:02 +0000 2018,67
67,@BBC,0.0,0.0,1.0,0.0,I'll apply for ANY job at this point 🤷‍♀️https://t.co/8OteufwU1C,Fri Aug 31 12:00:20 +0000 2018,68
