,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
28,@CBS,0.0,0.0,1.0,0.0,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",Sun Aug 05 23:58:41 +0000 2018,29
29,@CBS,0.8316,0.0,0.694,0.306,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",Sun Aug 05 23:44:39 +0000 2018,30
30,@CBS,0.0,0.0,1.0,0.0,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",Sun Aug 05 23:41:21 +0000 2018,31
31,@CBS,0.5994,0.0,0.843,0.157,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",Sun Aug 05 23:35:49 +0000 2018,32
32,@CBS,0.0,0.0,1.0,0.0,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,Sun Aug 05 23:35:46 +0000 2018,33
33,@CBS,0.5826,0.0,0.827,0.173,RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,Sun Aug 05 23:16:25 +0000 2018,34
34,@CBS,-0.5093,0.202,0.798,0.0,"RT @happytogether: Question: Even though you're not playing @Harry_Styles, did you do a Harry crash course?
@itsfelixwot: Absolutely not. C…",Sun Aug 05 23:12:39 +0000 2018,35
35,@CBS,0.0,0.0,1.0,0.0,"RT @happytogether: ""The show is about marriage, it's about getting a bit older, it's about youthfulness, it's about something happening and…",Sun Aug 05 23:10:20 +0000 2018,36
36,@CBS,0.6041,0.0,0.775,0.225,"RT @happytogether: ""It's always good to have a little bit of truth in whatever you're making.""- @wayansjr 

#HappyTogether #CBS #TCA2018",Sun Aug 05 23:05:58 +0000 2018,37
37,@CBS,0.3802,0.0,0.853,0.147,"RT @happytogether: ""I thought I was still young and cool until I met @itsfelixwot!"" -@AmberoniStevens #HappyTogether #CBS #TCA2018",Sun Aug 05 23:01:25 +0000 2018,38
38,@CBS,-0.2057,0.083,0.917,0.0,"RT @happytogether: ""We never wanted to create a show where people think ""Oh, did @Harry_Styles do that?"" -@benwinston on emphasizing that #…",Sun Aug 05 22:58:41 +0000 2018,39
39,@CBS,0.0,0.0,1.0,0.0,RT @happytogether: .@wayansjr is quick to point out that the characters in #HappyTogether are fictional. #CBS #TCA2018,Sun Aug 05 22:58:36 +0000 2018,40
40,@CBS,-0.0572,0.064,0.936,0.0,"RT @happytogether: ""@Harry_Styles became part of the family. We didn't want him to move out."" -@benwinston #CBS #HappyTogether #TCA18",Sun Aug 05 22:53:12 +0000 2018,41
41,@CBS,-0.3612,0.121,0.82,0.059,"RT @happytogether: ""It's about Cooper who wants nothing but normality and a boring life, and Jake and Claire, who want more excitement."" -@…",Sun Aug 05 22:52:24 +0000 2018,42
42,@CBS,0.4939,0.0,0.862,0.138,"RT @happytogether: ""It's loosely inspired (by the time @Harry_Styles lived with @benwinston), because if we put what actually happened on t…",Sun Aug 05 22:49:06 +0000 2018,43
43,@CBS,0.0,0.0,1.0,0.0,RT @happytogether: It's time for the #HappyTogether panel at the #CBS #TCA18! Follow along here!,Sun Aug 05 22:46:49 +0000 2018,44
44,@CBS,0.4926,0.0,0.825,0.175,RT @GodFriendedMe: Thanks for following along during the #GodFriendedMe panel at #CBS #TCA18—@HappyTogether is up next!,Sun Aug 05 22:32:37 +0000 2018,45
45,@CBS,0.2732,0.0,0.877,0.123,"RT @GodFriendedMe: ""You don't have to believe in God to believe in good."" 🙌@JOEtheMORTON #GodFriendedMe #CBS",Sun Aug 05 22:32:30 +0000 2018,46
46,@CBS,0.2716,0.0,0.905,0.095,RT @GodFriendedMe: “It’s incredibly important to us that we’re not a show that’s preachy or judgmental. Whether you believe or don’t believ…,Sun Aug 05 22:16:36 +0000 2018,47
47,@CBS,-0.4973,0.133,0.867,0.0,"RT @GodFriendedMe: ""Our feet are on the ground. Our characters are not angels, they’re not heavenly, they’re just real people. The 'opposin…",Sun Aug 05 22:16:29 +0000 2018,48
48,@CBS,0.0,0.0,1.0,0.0,RT @GodFriendedMe: Follow along with us as we live-tweet the #GodFriendedMe panel at #CBS #TCA18 with stars @hall_m_brandon @violettbeane @…,Sun Aug 05 22:16:19 +0000 2018,49
49,@CBS,-0.4019,0.114,0.886,0.0,"RT @cbsallaccess: From the writer of Scream, The Vampire Diaries and The Following, comes a modern day twist on classic fairy tales. 

#Tel…",Sun Aug 05 22:05:44 +0000 2018,50
50,@CBS,-0.6908,0.207,0.793,0.0,"RT @cbsallaccess: Small town. Big murder. Follow the Money. 

#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/T…",Sun Aug 05 22:00:47 +0000 2018,51
51,@CBS,0.0,0.0,1.0,0.0,RT @cbsallaccess: That's a wrap on the #TellMeAStory panel! @GodFriendedMe is up next! #TCA18 #CBSAllAccess,Sun Aug 05 21:48:41 +0000 2018,52
52,@CBS,0.8555,0.0,0.714,0.286,"RT @cbsallaccess: ""What I love about New York City - besides being the best city in the world - it's textural, it's real, it has everything…",Sun Aug 05 21:48:36 +0000 2018,53
53,@CBS,0.5994,0.0,0.766,0.234,RT @cbsallaccess: Who's ready to see @KimCattrall play @daniellemcam's (AKA Little Red Riding Hood) grandmother? #TellMeAStory #TCA18 #CBSA…,Sun Aug 05 21:48:29 +0000 2018,54
54,@CBS,0.6124,0.0,0.792,0.208,"RT @cbsallaccess: ""What I like about this show is that there's nothing else on TV like it right now."" -@kevwilliamson #TellMeAStory #TCA18…",Sun Aug 05 21:31:15 +0000 2018,55
55,@CBS,-0.2748,0.153,0.742,0.105,"RT @MurphyBrownCBS: According to Candice Bergen and Diane English, there's never been a more perfect time to revive #MurphyBrown! https://t…",Sun Aug 05 20:58:52 +0000 2018,56
56,@CBS,0.0,0.0,1.0,0.0,"RT @MurphyBrownCBS: #MurphyBrown has always been a political show, and that won't change! Read on about how the show plans to cover hot top…",Sun Aug 05 20:56:17 +0000 2018,57
57,@CBS,-0.4588,0.125,0.875,0.0,"RT @FBICBS: ""People are going to get a very realistic view of how that office operates and the stresses. It's a zero-tolerance FBI office.…",Sun Aug 05 20:10:33 +0000 2018,58
58,@CBS,0.0,0.0,1.0,0.0,Stay tuned for more #CBS #TCA18 action! The @cbsallaccess panel is up next. 👍🏼 https://t.co/fcjiEwpaN0,Sun Aug 05 19:43:38 +0000 2018,59
59,@CBS,0.0,0.0,1.0,0.0,"RT @FBICBS: #FBIFam, this should cure your #SundayScaries! Check out the #FBI preview that was shown at the #CBS #TCA18 before the panel. h…",Sun Aug 05 19:22:22 +0000 2018,60
60,@CBS,0.6249,0.0,0.796,0.204,"RT @TheNeighborhood: ""Once we shot the pilot, we knew that we had a great show."" -@CedEntertainer #TheNeighborhood #CBS",Sun Aug 05 19:21:28 +0000 2018,61
61,@CBS,0.1384,0.079,0.823,0.098,"RT @TheNeighborhood: ""It was so well done, as far as I was concerned, that it became a no brainer to do the show. I called the next morning…",Sun Aug 05 19:16:45 +0000 2018,62
62,@CBS,0.0,0.0,1.0,0.0,"RT @TheNeighborhood: ""This is a show about people. This is a show about families, neighbors, friendships... At its core, this is a show abo…",Sun Aug 05 19:15:53 +0000 2018,63
63,@CBS,0.4588,0.0,0.818,0.182,"RT @TheNeighborhood: We're here at the #CBS #TCA18 giving you the inside scoop on #TheNeighborhood with our stars @CedEntertainer, @Tichina…",Sun Aug 05 18:54:24 +0000 2018,64
64,@CBS,0.0,0.0,1.0,0.0,RT @MurphyBrownCBS: That's a wrap on the #MurphyBrown panel at #TCA18! @TheNeighborhood is up next! #CBS,Sun Aug 05 18:01:09 +0000 2018,65
65,@CBS,0.0,0.0,1.0,0.0,"RT @MurphyBrownCBS: Diane English reveals ""We have an enormously famous person in our first episode,"" but keeps the secret under wraps! 🙊 #…",Sun Aug 05 17:55:07 +0000 2018,66
66,@CBS,0.0,0.0,1.0,0.0,"RT @MurphyBrownCBS: Diane English talks about how to stay topically relevant while writing scripts ahead of time &amp; also said, ""We have an i…",Sun Aug 05 17:51:13 +0000 2018,67
67,@CBS,0.0,0.0,1.0,0.0,RT @MurphyBrownCBS: All the feels! ❤️ #MurphyBrown returns to #CBS this fall! https://t.co/OvQk3CV49W,Sun Aug 05 17:47:01 +0000 2018,68
68,@CBS,-0.0018,0.074,0.853,0.073,"RT @MurphyBrownCBS: ""It's been very emotional for the old guys... We saw Murphy's townhouse and we all got tears in our eyes."" -Candice Ber…",Sun Aug 05 17:39:48 +0000 2018,69
69,@CBS,0.0,0.0,1.0,0.0,"Stay tuned, because @MurphyBrownCBS is up next at the #CBS #TCA18! https://t.co/0qdjQiFrwW",Sun Aug 05 17:28:37 +0000 2018,70
70,@CBS,-0.0602,0.219,0.599,0.182,"RT @FBICBS: “Even though I was scared to say yes, it was so clear you don’t say no. I knew I couldn’t say no. I couldn’t be more grateful,…",Sun Aug 05 17:28:03 +0000 2018,71
71,@CBS,0.1761,0.105,0.735,0.16,"RT @FBICBS: What's it like for @JeremySisto coming back to a Dick Wolf show?

""It's one of the most stable ships you can be on... It's exci…",Sun Aug 05 17:27:46 +0000 2018,72
72,@CBS,0.1027,0.11,0.767,0.123,"RT @FBICBS: ""We're celebrating the troops on the ground... There are endless stories in there."" - Dick Wolf on why he wanted to focus the s…",Sun Aug 05 17:27:41 +0000 2018,73
73,@CBS,0.0498,0.123,0.746,0.13,"RT @FBICBS: “It’s really exciting to be here for the first time in a long, long, long, long time.” - Dick Wolf #CBS #TCA18",Sun Aug 05 17:27:31 +0000 2018,74
74,@CBS,0.6114,0.0,0.818,0.182,Celebrate #NationalSistersDay with an iconic group of sisters! Watch how these three became part of The Brady Bunch… https://t.co/nBVjxl4AbP,Sun Aug 05 14:47:12 +0000 2018,75
75,@CBS,0.2263,0.0,0.917,0.083,RT @startrekcbs: Executive Producer Alex Kurtzman and @SirPatStew surprised fans today at #STLV with news that he will be returning to the…,Sat Aug 04 22:57:37 +0000 2018,76
76,@CBS,0.0,0.0,1.0,0.0,Watching a 💯 spin on @PriceIsRight never gets old…especially when it’s Mila Kunis! https://t.co/NPOukc3jPz,Sat Aug 04 00:24:55 +0000 2018,77
77,@CBS,0.6124,0.0,0.76,0.24,"RT @TrueCrimeCBS: The chances of successfully blowing the whistle are slim, but did a Wells Fargo personal banker beat the odds?

Find out…",Fri Aug 03 22:34:08 +0000 2018,78
78,@CBS,0.9098,0.0,0.531,0.469,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,Tue Jul 31 21:02:33 +0000 2018,79
79,@CBS,0.34,0.0,0.876,0.124,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",Sat Jul 28 16:43:56 +0000 2018,80
80,@CBS,0.5707,0.0,0.813,0.187,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",Wed Jul 25 17:25:36 +0000 2018,81
81,@CBS,0.0,0.0,1.0,0.0,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",Wed Jul 25 15:12:31 +0000 2018,82
82,@CBS,0.34,0.0,0.882,0.118,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,Wed Jul 25 01:05:03 +0000 2018,83
83,@CBS,-0.1511,0.099,0.834,0.068,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",Tue Jul 24 18:54:14 +0000 2018,84
84,@CBS,0.8293,0.0,0.66,0.34,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,Mon Jul 23 21:30:33 +0000 2018,85
85,@CBS,0.128,0.0,0.927,0.073,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,Sun Jul 22 01:56:13 +0000 2018,86
86,@CBS,-0.296,0.109,0.891,0.0,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,Sat Jul 21 00:55:28 +0000 2018,87
87,@CBS,-0.296,0.109,0.891,0.0,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,Sat Jul 21 00:19:12 +0000 2018,88
88,@CBS,-0.7964,0.264,0.736,0.0,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",Sat Jul 21 00:10:00 +0000 2018,89
89,@CBS,-0.6597,0.18,0.82,0.0,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,Fri Jul 20 23:44:54 +0000 2018,90
90,@CBS,0.3182,0.0,0.905,0.095,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",Fri Jul 20 22:29:36 +0000 2018,91
91,@CBS,0.0,0.0,1.0,0.0,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,Fri Jul 20 21:39:09 +0000 2018,92
92,@CBS,0.0,0.0,1.0,0.0,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",Fri Jul 20 15:08:23 +0000 2018,93
93,@CBS,0.0,0.0,1.0,0.0,🤰👩‍👧🚫🍸 #WorldEmojiDay,Tue Jul 17 17:55:25 +0000 2018,94
94,@CBS,0.0,0.0,1.0,0.0,👨📝✔️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,95
95,@CBS,0.0,0.0,1.0,0.0,👩‍💼💼🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,96
96,@CBS,0.0,0.0,1.0,0.0,🕵️🕵️‍♀️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,97
97,@CBS,0.0,0.0,1.0,0.0,⚓️🦅🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,98
98,@CBS,0.0,0.0,1.0,0.0,🏄🌴🚔 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,99
99,@CBS,0.0,0.0,1.0,0.0,💙👮🍽 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,100
