,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
29,@FoxNews,0.5994,0.063,0.732,0.205,"Georgia officer wounded in Walmart shootout in serious condition, mouthed to his wife: 'I love you' https://t.co/j7k6BY4Km4",Tue Sep 04 23:21:46 +0000 2018,30
30,@FoxNews,0.4588,0.0,0.824,0.176,"Tropical Storm Gordon strengthens, expected to make landfall over Gulf Coast, possibly as hurricane. https://t.co/J31apEx1qe",Tue Sep 04 23:15:45 +0000 2018,31
31,@FoxNews,0.0,0.0,1.0,0.0,"Sen. @OrrinHatch on Senate Democrats interjecting during today's Kavanaugh hearing: ""That's typical opposition tact… https://t.co/I3EOJMnGOE",Tue Sep 04 23:06:53 +0000 2018,32
32,@FoxNews,-0.4019,0.13,0.87,0.0,"Morgan Ortagus on Kavanaugh hearing: ""I don't think anything happened today to lose a single Republican vote and I… https://t.co/azYBvcQ8Eg",Tue Sep 04 23:02:26 +0000 2018,33
33,@FoxNews,0.4019,0.0,0.816,0.184,TONIGHT: @FoxNewsNight has special Kavanaugh hearing coverage – @ShannonBream speaks with @SenTedCruz and… https://t.co/jga2QTOgRx,Tue Sep 04 22:50:24 +0000 2018,34
34,@FoxNews,0.3182,0.0,0.887,0.113,An entire @ChickfilA restaurant in North Carolina came together to pray for an employee who was undergoing surgery… https://t.co/iKb4GIs9Zk,Tue Sep 04 22:45:19 +0000 2018,35
35,@FoxNews,0.0,0.0,1.0,0.0,Maryland crab restaurant hits back at PETA's billboard with its own https://t.co/bZlR7eUEGr,Tue Sep 04 22:39:00 +0000 2018,36
36,@FoxNews,-0.4588,0.25,0.75,0.0,OPINION: Kavanaugh confirmation hearing turns into outrageous Senate circus https://t.co/WZxRmnQLRf,Tue Sep 04 22:34:00 +0000 2018,37
37,@FoxNews,-0.296,0.196,0.804,0.0,California woman allegedly faked kidnapping to avoid paying employees https://t.co/r1aaqqGrpt,Tue Sep 04 22:29:00 +0000 2018,38
38,@FoxNews,0.0,0.0,1.0,0.0,".@SenSasse on Kavanaugh hearing: ""The Democrats are trying to find a way to ask for stuff that they know can't be p… https://t.co/EBnyrfUOrs",Tue Sep 04 22:24:30 +0000 2018,39
39,@FoxNews,0.4939,0.0,0.856,0.144,Former Arizona Sen. Jon Kyl has been named to succeed John McCain in the Senate; @MikeEmanuelFox has the story.… https://t.co/nY5IZ2APCh,Tue Sep 04 22:22:28 +0000 2018,40
40,@FoxNews,0.296,0.104,0.739,0.157,The first day of Supreme Court nominee Brett Kavanaugh's confirmation hearing was met with fiery exchanges and prot… https://t.co/2t2AW49jR5,Tue Sep 04 22:17:10 +0000 2018,41
41,@FoxNews,0.0,0.0,1.0,0.0,Kuwait fish market shut down for putting googly eyes on less-than-fresh fish: report https://t.co/qIUIZWAquM,Tue Sep 04 22:09:28 +0000 2018,42
42,@FoxNews,0.0,0.0,1.0,0.0,".@TheJuanWilliams on Brett Kavanaugh and today's confirmation hearing: ""Republicans are involved in an act of fraud… https://t.co/GURituuYXU",Tue Sep 04 22:01:52 +0000 2018,43
43,@FoxNews,-0.6486,0.325,0.675,0.0,Egyptian man outside US Embassy in Cairo is accused of botched attack. https://t.co/BkQflKxc0X,Tue Sep 04 21:57:00 +0000 2018,44
44,@FoxNews,0.0,0.0,1.0,0.0,Massachusetts primary elections a test for incumbents across the state: A look at the races to watch  https://t.co/tC0X36hPAz,Tue Sep 04 21:53:00 +0000 2018,45
